Date : 2026-04-08 19:16:04
Directory : c:\Users\Hetu\OneDrive\Blogger
Total : 108 files,  22096 codes, 219 comments, 3341 blanks, all 25656 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\网络编程\1.前置知识.md                              | Markdown   |        252 |          0 |         48 |        300 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\网络编程\2.Socket套接字.md                         | Markdown   |        105 |          0 |         26 |        131 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\网络编程\3.服务端与客户端.md                           | Markdown   |        313 |          0 |         53 |        366 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\网络编程\4.消息收发.md                              | Markdown   |         25 |          0 |         11 |         36 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\设计模式\A.设计原则与设计模式概述\概述.md                    | Markdown   |         69 |          0 |         23 |         92 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\设计模式\B.创建型设计模式\1.工厂方法模式.md                  | Markdown   |         35 |          0 |          2 |         37 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\设计模式\B.创建型设计模式\2.抽象工厂模式.md                  | Markdown   |         90 |          0 |         30 |        120 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\设计模式\B.创建型设计模式\3.建造者模式.md                   | Markdown   |        104 |          0 |         43 |        147 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\设计模式\B.创建型设计模式\4.原型模式.md                    | Markdown   |         30 |          0 |          5 |         35 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\设计模式\B.创建型设计模式\5.单例模式.md                    | Markdown   |          0 |          0 |          1 |          1 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\设计模式\B.创建型设计模式\_创建型概要.md                    | Markdown   |         12 |          0 |          2 |         14 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\设计模式\C.结构型设计模式\1.适配器模式.md                   | Markdown   |         78 |          0 |         46 |        124 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\设计模式\C.结构型设计模式\2.桥接模式.md                    | Markdown   |         38 |          0 |         11 |         49 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\设计模式\C.结构型设计模式\3.组合模式.md                    | Markdown   |         42 |          0 |         19 |         61 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\设计模式\C.结构型设计模式\4.装饰器模式.md                   | Markdown   |         41 |          0 |         19 |         60 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\设计模式\C.结构型设计模式\5.外观模式.md                    | Markdown   |         30 |          0 |         16 |         46 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\设计模式\C.结构型设计模式\6.享元模式.md                    | Markdown   |         62 |          0 |         23 |         85 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\设计模式\C.结构型设计模式\7.代理模式.md                    | Markdown   |         28 |          0 |          7 |         35 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\设计模式\C.结构型设计模式\_结构型概要.md                    | Markdown   |         16 |          0 |          3 |         19 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\设计模式\D.行为型模式\1.责任链模式.md                     | Markdown   |         29 |          0 |          7 |         36 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\设计模式\D.行为型模式\10.访问者模式.md                    | Markdown   |         40 |          0 |          8 |         48 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\设计模式\D.行为型模式\11.解释器模式.md                    | Markdown   |         29 |          0 |          8 |         37 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\设计模式\D.行为型模式\2.命令模式.md                      | Markdown   |         27 |          0 |          6 |         33 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\设计模式\D.行为型模式\3.迭代器模式.md                     | Markdown   |         41 |          0 |         12 |         53 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\设计模式\D.行为型模式\4.中介者模式.md                     | Markdown   |         40 |          0 |          8 |         48 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\设计模式\D.行为型模式\5.备忘录模式.md                     | Markdown   |         39 |          0 |          7 |         46 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\设计模式\D.行为型模式\6.观察者模式.md                     | Markdown   |         68 |          0 |         15 |         83 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\设计模式\D.行为型模式\7.状态模式.md                      | Markdown   |         93 |          0 |         26 |        119 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\设计模式\D.行为型模式\8.策略模式.md                      | Markdown   |         30 |          0 |         16 |         46 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\设计模式\D.行为型模式\9.模版方法模式.md                    | Markdown   |         34 |          0 |          9 |         43 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\设计模式\D.行为型模式\_行为型模式概要.md                    | Markdown   |         12 |          0 |          3 |         15 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\设计模式\E.附录\1.设计模式面试常考点.md                    | Markdown   |         70 |          0 |         23 |         93 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\设计模式\E.附录\2.数据局部性与系统性能优化.md                 | Markdown   |         43 |          0 |         12 |         55 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\设计模式\E.附录\3.ECS架构设计.md                      | Markdown   |         61 |          0 |         16 |         77 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\设计模式\E.附录\4.对象池设计浅析.md                      | Markdown   |         44 |          0 |         13 |         57 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\设计模式\E.附录\5.架构设计.md                         | Markdown   |         52 |          0 |         16 |         68 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\设计模式\E.附录\6.MVC、MVP、MVVM架构的异同.md            | Markdown   |        160 |          0 |         89 |        249 |
